date;employee_title;employee_status;review_title;pros;cons
2021-04-12;Research Scientist;Current Employee;growth with company;"you have opportunity to learn a lot of advanced stuff here.
";"No cons at this point
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-27;Cashier/Deli/Sales;Former Employee;I fell in love with my husband there, but don't work there if you can avoid it;"Corporate does take an interest in talented individuals
";"You basically have to work there for a long time, sleep with the boss, or sell people on bad credit cards to really go up the chain of command, regardless of qualification.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-26;Sales Associate;Former Employee, more than 1 year;Nothing Special just a regular job;"Easy and simple job without hassle
";"No paid time, no benefits, no promotions
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-27;Anonymous;Former Employee, more than 10 years;Ok Company;"Good Benefits, Well known and good external reputation, Industry
";"Not a good place for minorities wanting to advance
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-25;Account Manager;Current Employee, more than 5 years;Chevron review;"Great work life balance the opportunity to try totally different career paths is encouraged.
";"Old-school philosophy the old boys club still exist not many women and management positions culture of diversity and inclusion is still not there
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-09;Business Analyst;Current Employee;Analyst;"Good work life balance with every other Friday off
";"Employees have limited experience working at other companies
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-08;Safety Specialist;Current Employee;Financially supportive;"Benefits of Chevron are very strong. They take care of their employees financially, especially when relocating.
";"The financial support obviously has some strings attached.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-23;Order Entry Representative;Former Employee, more than 5 years;Chevron;"Good stock options and benefits
";"Very strict schedule to adhere to. No flexibility
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-07;Financial Analyst;Current Employee, more than 3 years;Great Company- Great People;"Great culture, tremendous compensation. Great benefits and work life balance. Really the best company I’ve worked for in my career.
";"Some times work can be low value and time consuming . But in the middle of transforming the way we work so hopefully this changes soon.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-07;Procurement Specialist;Current Employee, more than 3 years;Great company;"Great company to work for
";"none I can think of at this time
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-07;RPA Blueprism Developer;Current Employee;Good Company;"Healthy Work Environment in office
";"Nothing negative to explain about company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-20;Mechanic;Current Employee;Better than most;"Pays well Schedule Nice bonus Safety oriented Cares about people
";"No room to move up
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-02;Senior Business Analyst;Current Employee, more than 1 year;Great company to work for but its completely dependent on O&G swings;"- Competitive Pay - Growth Opportunities - Good Work-Life Balance - Company is effectively structured to compete in O&G industry - Great 401k program & other benefits
";"- Isn't shifting its core business away from O&G so it susceptible to the swings in oil price. - Will have layoffs in the future when oil price tanks again. - Many employees are quite focused on their personal optics as they like to move between roles often.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-04-06;Senior IT Professional;Former Employee;Great benefits;"Great benefits if there long term
";"Market volatility affects lay offs
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-20;Senior Advisor;Current Employee;Getting better all the time;"pension, retirement security, stability, opportunity to change jobs and move around the company
";"lower upside potential in terms of big growth
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-04;Finance Analyst;Current Employee;Good company;"Room to grow Good managers Low turnover
";"Work life balance Not always transparent Slow in technologies/digital
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-04;Data Analyst;Current Employee, more than 10 years;Amazing company to work for;"good work life-balance; excellent employee training opportunities; good salaries
";"oil and energy industry ups and downs
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-16;Gas Pump Attendant;Current Employee;Gas;"Pumped gas, like all the time
";"Didn't get to pump enough gas
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-01;Software Engineer;Current Employee;Good;"Very diverse and inclusive workplace. Also offer jobs outside of US.
";"Very big corporation. Have to really advocate for yourseld.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-01;Software Engineer;Current Employee;Chevron Software Engineer;"They pay their employes very well.
";"You have to work long hours sometimes
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-14;Customer Service Representative;Former Employee, more than 3 years;Customer service;"Easy job , weekly pay, flexible schedule
";"Customers are rude , no employee discount
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-29;Customer Service Representative;Former Employee, less than 1 year;Was more fun that I thought;"Worked alone, fairly simple, nothing to hard, pretty safe considering
";"Breaks are quick, can't sit down
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-13;Project Engineer;Former Employee, more than 3 years;Better than ExxonMobil;"The company is more people-focused than some other large oil and gas companies. Work-life balance is good with the opportunity to work 9-80s.
";"It is still an oil company with a somewhat antiquated work culture.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-12;Manager;Current Employee, more than 10 years;Very good company, highly political culture;"Chevron makes a difference in the world, so your work is valuable. You can have multiple career paths without having to leave for another company. The work is complex and challenging. Chevron's reputation opens many, many doors.
";"Lots of internal politics. Very, very passive aggressive. New ideas can face a lot of inertia. Stated values are not always applied -- can be vulnerable to saying one thing and doing another. Performance feedback is not always clear.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-11;Process Safety Engineer;Current Employee;Good Company to work for;"9/80 schedule and good salary
";"Re-orgs about every 3-5 yrs and is becoming more and more woke
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-11;Anonymous;Former Employee, more than 1 year;OK;"Good Pay and Great Benefits
";"Too many hours per week
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-25;Lubricants;Current Employee;Fantastic;"Great culture and benefits. Really care about employees
";"None that come to mind
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-07;Engineer;Current Employee;Tough, smart, overworked;"Great leaders. Smart employees. High level of ownership and self-motivation. Lots of career options. Integrated oil. Multiple work locations.
";"Hubris. Can care more about results than employee input/morale. People who talk more get promoted faster. D&I is well intentioned, but is mostly talk. I’m exhausted. Way too slow to change/adapt. Pulling back on central orgs has put more on each employee. Underpaid.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-23;Scrum Master;Current Employee;Great cultutre;"People, Culture, Diversity, Everything is just great
";"low pay a lot of bureaucracy
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-24;Drilling Engineer;Current Employee;Great place to work;"Inclusive culture, generally good work-life balance, great co-workers.
";"Commonly referred to as the fast follower. Chevron often waits for other companies to do things first before exploring new technology or plays.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-23;Senior Completions Engineer;Former Employee, more than 10 years;Good compensation;"Good job culture and opportunities overseas
";"Unclear performance evaluation system and too much politics
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-23;IT Engineer;Current Employee;Diversity;"Positive Acceptance and Team Collaboration
";"Just like all places there are still some old school cultures that are currently growing
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-06;Process Engineer;Former Employee, more than 5 years;Good benefits good people;"Great work like balance and good benefits
";"Can be a bit too heavy in management
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-05;Human Resources Advisor;Former Employee, more than 10 years;great Learning opportunity;"Great learning and growth opportunities
";"Way too many layers of leadership. difficult getting things done sometimes
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-05;Senior Manager of Executive Communications and Engagement;Former Employee, more than 8 years;Problematic work culture within corporate function;"People, technology, sweep and global scope of the business,
";"While great people abound, bureaucratic politics within the public affairs function sapp potential.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-21;Self Employed;Former Employee;company headline;"good company, great pay, decent managment, excellent opportunities
";"Corporate culture can eat at you
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-19;Manager;Former Employee;Great Place to work;"Flexibility and great atmosphere for employees
";"Any cons, great place and people
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-18;Manager;Former Employee;Great place to do great work;"Smart, capable, challenging work, immersed in innovation
";"Structure career progression and compensation
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-01;Human Resources Analyst;Current Employee;Room for growth if you take charge;"There are plenty of resources and people to help you grow. Sensible work culture.
";"There’s little structure to help you figure it out. You have to do it all in your own with a good bit of luck. Almost zero D&I at the top. Lots of overpaid support staff who help leadership that possess minimal technical skills.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-16;Geoscientist;Former Employee, more than 5 years;great benefits;"compensation, 401k, good worklife balance
";"job might get routine, oil business in general may be volatile at times
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-17;Advisor;Current Employee, more than 8 years;Good company;"Excellent company to work for
";"Sustainability of legacy o&g business
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-30;Land Representative;Former Employee, more than 5 years;Good learning experience, but difficult to move around;"Good benefits, nice people, great work/life balance
";"Very difficult to advance from an individual contributor level, or move departments
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-29;Kitchen Manager;Current Employee;Family owned;"Family owned Non-competitive hours Mostly employed college students Will work with you on schedule (if in school)
";"Family owned Mostly 20-26 year old temporary workers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-28;Geophysicist;Current Employee;Work Culture;"Excellent work culture Great co workers
";"Long working hours are not good
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-25;Public Affairs;Former Employee, more than 8 years;Great Company;"Good benefits at all levels
";"Poor management of talent and high potentials
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-26;Manager;Current Employee, more than 10 years;Big company;"Competitive among its peers. Strong position in the industry.
";"A bit too bureaucratic. Hard to get things done simply or quickly.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-26;Unemployed;Current Employee;Great place to learn necessary life skills.;"A lot of skills including inventory, stocking, communication, and leadership skills were required and taught.
";"Long work days with almost no breaks and an overload of work that had to be done simultaneously.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-24;Technical Lead;Former Employee, more than 10 years;Ok;"Ok but not what it used to be
";"cyclic industry, lots of politics
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-09;Process Engineer;Current Employee, more than 5 years;Great company culture, though promotion may be slow;"Company culture is strong in Los Angeles area refinery Benefits are good, most technical staff works 9/80 schedule Seems to be non-hierarchal, open door policy means something from most managers
";"Recently losing talent in recruitment and attrition, due to competition of tech industry in California Not as progressive other industries, though ahead of the other Energy companies
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-23;LMS Administrator;Former Employee;Great culture;"The people are great to work with.
";"There isn’t much room for growth.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-24;IT Senior Business Analyst;Former Employee, more than 10 years;Great place to work;"High salary, good work life balance
";"Chevron's IT is way behind other companies in technology
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-25;Petrophysicist;Former Employee, more than 8 years;Great benefits;"Major oil and gas company with contacts to vendors and other major oil and gas companies
";"Limited advancement opportunities, check the box assignments
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-14;Project Manager;Current Employee;NA;"I really like the people here. Feels awesome.
";"Tired all the time. Need extra support.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-03-23;Anonymous;Former Employee, more than 8 years;Gas station;"Good pay fun people to with
";"Worked as a skeleton crew
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-22;Process Engineer;Former Employee, more than 3 years;Good, stable job;"Great mentorship, many opportunities to learn new technologies and participate in international projects
";"Typical slow moving giant corporation, and you may feel that your contributions make minimal impact on the grand scheme of the project
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-07;Anonymous;Former Employee, more than 3 years;Easy;"Low pressure slow moving good people
";"This is a very bureaucratic company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-06;Well Site Supervisor;Current Employee, less than 1 year;Best Job Ever;"Best job ever, I wake up every day excited for work.
";"Nothing, I love my job.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-19;Supply Chain;Current Employee, more than 10 years;Great place to work;"Work life balance, career opportunities
";"Susceptible to downturns, slow to respond to digital progress
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-21;IT Professional;Current Employee, more than 10 years;Caucasian male swipe right. Any other ethnic group swipe left;"9/80 schedule giving you two Friday's off per month
";"Too many re-orgs! I have had 8 team leads in 7 years! More than my 13 years prior to joining the company. The company is always pushing the reset button with all the frequent re-orgs. Almost like the company does not know what it wants to be when it grows up.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-21;Analyst;Current Employee;All about who you know;"Great benefits and work/life balance. Company culture is different in Louisiana than corporate culture
";"Moving within the company is about who you know
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-20;Manager;Current Employee;Good overall;"Good salary and benefits overall
";"Lots of politics as a result of the company's culture
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-05;Instrument Engineer;Current Employee, less than 1 year;Great Company, Great People;"-Competitive pay -Friendly work environment -Strong work life balance
";"It's not a growing industry, so it can be hard to see yourself there for 30 years if you're just starting your career.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-05;Staff Accountant;Former Employee, more than 1 year;Chevron;"people are great to work with
";"late nights and evenings at times
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-05;Anonymous;Current Employee, less than 1 year;Great;"Great money. Great people. Great work space. Great hireackey. Great food.
";"Environment but other the bit of noise can think of any.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-18;Senior Engineer;Current Employee;Good;"9/80 schedule with more days off
";"No cons at this point
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-03;Facility Engineer;Former Employee;Chevron;"Had a great work life balance
";"Employee difficulties were often ignored
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-16;Facilities Engineer;Current Employee, more than 1 year;Great Place to Start your Career;"Plenty of opportunity, More than competitive salary, great benefits, and supportive colleagues, flexible career path
";"Corporate politics, employees get stuck in the work grind, geographical location limitations,
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-16;Software Engineer;Current Employee, more than 5 years;good;"career growth, employee wellness and safety
";"salary could be better, too much meetings
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-15;Gas Station Attendant;Former Employee, more than 3 years;not very good;"the environment and the environment
";"low salary and low salary
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-28;Engineer;Current Employee, more than 10 years;Great Company;"1. Fair 2. Focused on Feedback 3. Focused Only On What is Necessary 4. Various Types of Domestic and Overseas Opportunities 5. Willing to Adapt to Change Quickly
";"I have no major complaints...
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-28;Anonymous;Current Employee, more than 3 years;Amazing Place to Work;"Corporate Culture of Inclusiveness 401k match Strong Leadership Team Amazing Coworkers
";"Not agile (but working on it) Bureaucratic
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-28;Intern;Former Employee;Intern Salary;"Good starting salary for college.
";"It was remote but so was everywhere.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-27;Cashier;Former Employee;Chevron;"Really easy and chill, could get pretty boring
";"None, having a lot of slow days
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-13;Data Scientist;Current Employee;Slow and loose management;"good work life balance. Nice pay
";"Management response is low and no guidiance or training
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-25;Cashier;Former Employee, less than 1 year;Cashier at Chevron;"Pay, coworkers, benefits and location
";"Tedious and odd working hours
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-12;Currently Unemployed;Former Employee;Wells function;"great training, pay and benefits
";"Culture heavy on D&I and reflected in employee selection, managers that are shiny rise to the top not based on merit or actual work, processes are cumbersome
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-12;Shift Supervisor;Current Employee;Overall great place to work;"Great 401k, benefits, pay and bonuses
";"Work life balance can be an issue.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-10;Cybersecurity Risk Professional;Former Employee, more than 10 years;Great employer;"Great benefits including 401k match, work/life balance
";"not applicable at this time
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-22;Senior Engineer;Current Employee, more than 10 years;Nice Company but watch Oil Price!;"Great company with international opportunities and great compensation
";"Multiple layoffs during low oil commodity price
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-09;SCCM Administrator;Former Employee, more than 10 years;Excellent Company To Work For!;"Excellent culture and processes. Career opportunities Work, Life, Balance
";"Average Company Politics Corrupts managements Chevron Way is not always the correct way
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-22;Drilling Engineer;Former Employee, more than 3 years;Good company, great technical resources;"Technical resources, benefits, training, vacation
";"Processes, middle management, human resources
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-08;Training and Development;Former Employee, more than 10 years;Excellent Overall Corporate Expereince;"Great Diversity and Inclusion Program, large number of career opportunities. Wonderful compensation.
";"Upper management doesn't always think outside of the box.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-08;IT Engineer;Current Employee;Too much reorg;"Good pay , good balance to start careers
";"Record make managers not aware of team project
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-20;Lead Information Risk Manager;Current Employee;Chevron;"Great culture. ""One Team"" behaviors all the way. Clear leadership and feedback focused.
";"Still a few old school managers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-04;Health Advisor;Current Employee, more than 8 years;Good;"Good job totally fine yes
";"Oil culture can be tough,
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-03;Security Access Specialist;Former Employee, more than 5 years;Great Experience!;"Pay, opportunity for growth, culture, technology, people
";"Regular layoffs, outsourcing US jobs overseas
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-04;Not Sharing;Former Employee;Good company, lots of resources, sometimes too much political;"Amazing people. Super intelligent. Great resources. Strong influence from every stata to increase diversity.
";"Too big to allow for performance based advancement. Advancement is based upon self promotion, which leaves many people without the appropriate opportunities.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-17;Assistant Cashier;Former Employee, more than 1 year;I had been called on a wednesday to get a new chance at becoming an Cashier at Chevron Gas Station.;"Handling the drawer, cash, total & earnings.
";"Timing exactly when to close & lock up the store locations because of entrances upon guests.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-17;Lead Technical Assistant;Former Employee, more than 5 years;Really great place to work;"Salary and benefits are top notch. The atmosphere both in the office and in the field are commendable.
";"The Shareholder is the bottom line, so many layoffs to keep the shareholders happy.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-04;Facilities Engineer;Former Employee, more than 10 years;Great company to work for in long term;"Values its employees, good work culture
";"Relationship with stakeholders matter more than business results. Sycophant is rewarded better than hard working employee
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-16;Operations Manager;Former Employee;Oil Company;"Benefits, salary, mentors, perks, time off.
";"None, other than no covered parking.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-01;Design Engineer;Current Employee;Good;"Salary and benefits Good culture environment
";"Na na na na na
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-28;Planning Analyst;Current Employee;Good culture;"Great culture for oil and gas company
";"Lot of push to get people in management roles that aren’t the most talented or experienced, just well spoken and do whatever it takes to look good.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-01;Software Engineer(Internship);Former Employee, less than 1 year;Cloud Engineering Intern Review;"Chevron is a really friendly place to work at for beginning Software Engineers, their workload is significantly less than a Software company would assign, but you still get a good experience technically and socially.
";"The problem you work on in Chevron are usually less technically advanced because they're not a Software company, meaning that the work you do will be more specific and you will only get to learn one or two new tools.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-01;Cashier;Current Employee, more than 10 years;Bad management;"Good schedule and willing to work around it
";"Bad team members manager doesn’t care about employees
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-14;Commercial Analyst;Current Employee;Great Company Culture;"Great people to work with, collaborative team environment
";"Oil industry may not be the most rewarding
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-26;Supply Chain Business Analyst;Current Employee;Great Company;"Great company to work for.
";"I haven’t observed any cons.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-24;Software Engineering;Former Employee, less than 1 year;Enjoyed the Job;"The company is very involved in your well-being.
";"Sometimes, the company can over-assign work.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-10;Software Engineer;Current Employee, more than 5 years;great place to work/build a career;"career growth, work life balance, opportunities, great people
";"very slow to change, large company with lots of employees and constant resource changes, oil/gas industry can cause turbulence
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-10;Land Representative;Former Employee, more than 5 years;Great Company & Great Culture;"I enjoyed the inclusive culture at Chevron; they always focused on growing more within the diversity and inclusion space.
";"There were times when project direction was not as clear as it could have been; however, this is something you will most likely encounter at any job.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-24;Support Analyst;Former Employee, less than 1 year;Good experience;"Good benefits and great pay
";"Would not return calls after going on medical leave
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-09;Assistant Manager;Current Employee;Great job;"You get to interact with customers
";"Always have to be on your feet
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-22;Retired;Former Employee;.;"Good pay and benefits, good people to work with
";"Poor long term prospects during downturns.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-23;Compliance Assurance Specialist;Current Employee;?;"Good pay and benefits and global opportunities
";"They do mass layoffs regularly. They shove diversity stuff down your throat constantly.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-21;IT Lead;Current Employee, more than 8 years;Great company, great top leadership, poor middle management;"work life balance, pay, pension, flex time, 9/80s
";"poor career development, politics, un-interested middle management
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-22;Financial Analyst;Former Employee;intermedy;"pay the day schedule change hhhhfgdfg
";"customer services mal ambiente Laboral htruj
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-20;Plant Operator;Current Employee;Changes slow and a bad environment;"For hourly employees that are union currently. There is the fact that there haven't been lay offs yet.
";"1. There is a lot of old mentalities regarding how the plant should run. Need a 1 track mind for this. 2. Also leadership styles are different that things can vary so much from supervisor, shift, and message received to the operators and contractors. 3. The previous owner of this refinery left an impact on the work force and the reliability of the plant. leading to disconnect between leadership and operations. 4. The safety for now is almost non existent. There needs to be a bigger role in training and actual safety personnel to make this successful.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-04;Drilling Engineer;Former Employee, more than 8 years;Good Experience;"Pay and benefits were good
";"Chaotic year with all the changes
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-03;Compressor Mechanic;Current Employee;Great Company;"Major oil company with top knot high everything
";"Heavy on the management side
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-03;Intern;Current Employee;good;"it is a good work environment
";"not sure what ot say yet
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-17;Stocker;Current Employee;Meh;"Lots of free time and planning for something else.
";"No hours, min pay, no benefits
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-14;Office Assistant;Former Employee, less than 1 year;flexible position;"great manager, open to salary negotiation
";"occasionally unorganized, small office space
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-15;Student;Former Employee;Good;"Good place to work it was great
";"Nothing negative to say because it was good
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-31;Production Specialist;Current Employee, more than 8 years;Great Company;"Good benefits, Great company culture.
";"Limited work locations. Limited career development for those without an engineering degree.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-29;Research Scientist;Current Employee, less than 1 year;Great Company;"Great company to work with, great culture.
";"Nothing to say. Not discover problem yet.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-04;Product Manager;Current Employee, more than 8 years;Reorganizing but not fully thought out;"Benefits are solid Vacation is generous even if you transfer in 401k and pension(for now) Decent pay Some good people
";"Slowly dying and not looking to really make a stepwise change or diversify. Some great people, but we kept a ton of bad apples. The reorg was not well thought out in terms of how to execute Too many consultants with a foothold without knowing our company. This lead to the adoption of a hybrid conglomerate of multiple operating models. As an external hire who has spent a number of years here, I can say this place is as good as your manager and perhaps worse since the opportunities to switch roles seems to have dried up with the org changes.
Verify your email to continue reading or Resend email
3 people found this review helpful
Helpful
Share
Repor"
2021-01-29;Drilling Engineer;Current Employee, more than 1 year;Best Oil Major;"People over profits, competitive pay, great benefits.
";"Frequent layoff, commodity based business, regulatory environment
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-12;PSG 21;Former Employee;PSG 21;"great people to work with
";"very hard to get promotions
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-12;Senior Petroleum Engineer;Former Employee, more than 10 years;Chevron Restructuring;"Great company, varied roles are possible, large assets
";"Upper management not fully engaged in day to day operations
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-28;Mechanical Engineer;Former Employee, more than 1 year;Good company to work at;"Lots of opportunities to grow and work on different projects around the world. Great retirement plan. Great company culture
";"Long hours and very hierarchal (like all big companies)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-11;Retail Associate;Former Employee, more than 1 year;It was alright;"Management and hours were flexible
";"Schedules would change on a whim without any communication
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-08;Technologist;Former Employee, more than 5 years;Chill team;"The team I worked with, RM, based at RTC in Richmond, CA, was a chill team. Supervisor was hands-off and though supervisors above him were not technical enough to understand what we did, we generally didn't have to deal with the misgivings. Although this was Richmond, the area is safe.
";"There tends to be layoffs every couple of years to trim the company, though if your job has purpose, it's generally safe. Next to refinery. Depending on weather conditions, will stink if you are downwind and outside.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-09;IT Manager;Former Employee;not sure about the future;"good culture, values people, wants to inovate
";"too big to change fast enough to survive
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-24;Architect;Current Employee;very good;"great work life balance at chevron
";"location is a challenge to work
Be the first to find this review helpful
Helpful
Share
Repor"
